name,ring,quadrant,isNew,status,description
Aplicaciones Inteligentes,Adopción Temprana,Tecnología,TRUE,new,"Utilizan una o varias técnicas de IA para aprender de diversas fuentes de datos externas y alternativas."
Asistentes virtuales IA generativa,Implantada,Tecnología,TRUE,new,"Representan una nueva generación de asistentes que aprovechan los grandes modelos de lenguaje (LLM, por sus siglas en inglés) para mejorar su funcionalidad."
Aprendizaje autosupervisado,Pilotaje/Prototipo,Tecnología,TRUE,new,"Es un enfoque del machine learning (ML) en el que se generan datos etiquetados a partir de los propios datos, sin depender de datos de resultados históricos ni de supervisores humanos que proporcionen etiquetas o comentarios."
UAV autónomos,Adopción Temprana,Industria/Sector,TRUE,new,"Son máquinas voladoras autónomas utilizadas principalmente para inspeccionar activos, aunque también están ganando popularidad para la entrega de pequeños paquetes."
IA Generativa,Implantada,Tecnología,FALSE,moved in,"Describe las tecnologías que pueden generar nuevas versiones derivadas de contenidos, estrategias, diseños y métodos al aprender de grandes repositorios de contenidos fuente originales."
Avatares de la IA,Emergente,Tecnología,TRUE,new,"Son personajes virtuales con apariencia humana, creados mediante imágenes generadas por ordenador y diversas técnicas y aplicaciones de IA."
Gemelos Digitales,Adopción Temprana,Industria/Sector,TRUE,new,"Son réplicas de base tecnológica que generan una representación digital duplicada del estado de unidades o conjuntos de activos, procesos, personas u organizaciones (físicos o virtuales)."
Procesador cuántico,Emergente,Tecnología,TRUE,new,"Con chips que constan de qubits (o bits cuánticos), el equivalente de los bits de la computación clásica."
Blockchain,Implantada,Industria/Sector,TRUE,new,"Se refiere a un grupo de tecnologías centradas en la distribución entre profesionales, la descentralización, la inmutabilidad, el cifrado y la tokenización."
Chips de IA,Adopción Temprana,Tecnología,TRUE,new,"Son un tipo de dispositivo semiconductor optimizado para procesar redes neuronales profundas."
Análisis de comportamientos,Pilotaje/Prototipo,Regulación,TRUE,new,"Se refiere a las capacidades de seguimiento de sesiones que supervisan las interacciones de los usuarios con un servicio protegido para construir modelos de confianza que permitan distinguir entre estafadores, usuarios de confianza y bots."
Identidad descentralizada,Pilotaje/Prototipo,Regulación,TRUE,new,"O los sistemas asociados de identidad autosoberana (SSI, por sus siglas en inglés) tienen como objetivo abordar los retos de privacidad y transparencia que plantean los sistemas de identidad tradicionales."
Tecnologías de mejora de la privacidad,Adopción Temprana,Regulación,TRUE,new,"Son un conjunto de enfoques sólidos que permiten tratar la información y, al mismo tiempo, proteger los datos personales subyacentes."
IA responsable,Adopción Temprana,Medioambiente/Sociodemográfico,TRUE,new,"Es un término que engloba muchos aspectos de la toma de decisiones empresariales y éticas correctas cuando una organización adopta la IA."
IA centrada en personas,Adopción Temprana,Medioambiente/Sociodemográfico,TRUE,new,"Es un principio común de diseño en la IA que requiere que esta tecnología se beneficie continuamente de la contribución humana."
Envejecimiento de la población,Pilotaje/Prototipo,Medioambiente/Sociodemográfico,TRUE,new,"El envejecimiento de la población crea una necesidad creciente de tecnologías que mejoren la calidad de vida de las personas mayores. Esto incluye innovaciones como dispositivos de monitorización remota de salud, robots asistenciales, plataformas de telemedicina, aplicaciones para el seguimiento de medicación, y sistemas de hogares inteligentes adaptados a las necesidades de los mayores. Estas soluciones no solo generan oportunidades de negocio, sino que también transforman sectores como la salud, la tecnología y la vivienda."
eIDAS,Emergente,Regulación,TRUE,new,"La regulación eIDAS (Electronic Identification, Authentication, and Trust Services) establece un marco para la identificación electrónica y servicios de confianza a nivel europeo. Facilita transacciones electrónicas seguras, fomenta la interoperabilidad entre países y sectores, y promueve la adopción de soluciones digitales avanzadas en procesos regulatorios y financieros. Esto incluye la posibilidad de optimizar la gestión financiera, como sacar vehículos en stock de la contabilidad mientras están en campa antes de ser vendidos al concesionario, reduciendo su impacto contable."
CSRD,Adopción Temprana,Regulación,TRUE,new,"La CSRD establece requisitos más estrictos para la presentación de informes de sostenibilidad, ampliando el alcance de las empresas obligadas. Esto incluye la implementación de nuevos estándares (ESRS) y alineación con la taxonomía europea, generando un cambio profundo en los sistemas operativos y oportunidades en servicios regulatorios innovadores."
Agua Embotellada,Emergente,Industria/Sector,TRUE,new,"El mercado de agua embotellada está en transformación debido a la creciente preocupación por la sostenibilidad, el acceso al agua potable y los cambios en las preferencias de los consumidores hacia productos más saludables y responsables con el medio ambiente. Las innovaciones en embalajes sostenibles, como botellas reciclables o biodegradables, y los avances en procesos de purificación están transformando el sector. Además, las regulaciones sobre plásticos de un solo uso y la presión de los consumidores están empujando a las empresas hacia modelos de negocio más circulares. También se observan iniciativas tecnológicas como la trazabilidad del origen del agua y la compensación de la huella de carbono."
